,Age,Gender,Race,Date,City,State,Zipcode,County,Agency responsible for death,Cause of death,A brief description of the circumstances surrounding the death,Official disposition of death (justified or other),Criminal Charges,Symptoms of mental illness,Unarmed,Alleged weapon,Alleged threat,Fleeing,Body camera,Off-Duty Killing?,Geography,year,month
10,50,Male,Hispanic,2019-12-29,El Centro,CA,92243.0,Imperial,El Centro Police Department,Gunshot,"Around 7 a.m., Manuel Gonzales Verdugo walked into a Rite Aid and stole several knives. He reportedly told employees to call the police and said he was going to kill an officer. When police arrived, they reportedly ordered Verdugo to drop the knife. Verdugo failed to comply and charged at officers with the knife in his hand, and he was shot and killed.",Pending investigation,No known charges,Unknown,Allegedly Armed,knife,other,Not fleeing,No,,Urban,2019,12
11,76,Male,Unknown race,2019-12-29,Byhalia,MS,38611.0,DeSoto,DeSoto County Sheriff's Office,Gunshot,"Around 10 p.m. at Longhorn Steakhouse in Southaven, John Bott reportedly fired shots in the parking lot. He then went across the street to Fazoli's before heading to Applebee's in Olive Branch, again firing his gun in the parking lot. Deputies stopped him around 11 p.m. on U.S. 78, and shots were exchanged, and Bott was shot and killed.",Pending investigation,No known charges,Unknown,Allegedly Armed,gun,undetermined,0,No,,Rural,2019,12
12,29,Male,Unknown race,2019-12-29,Rapid City,SD,57701.0,Pennington,Rapid City Police Department,Gunshot,"Officers responded to a report of gunshots around 5 p.m. at an apartment complex. Patrick Alden allegedly shot at arriving officers with a rifle from the second floor. Officers entered the building and climbed to the second floor, where they met the alleged rifleman on the stairwell. RCPD officer Garrett Mastin shot and killed Alden.",Pending investigation,No known charges,No,Allegedly Armed,gun,attack,Not fleeing,No,,Suburban,2019,12
13,,,Unknown race,2019-12-29,Lafayette,IN,47905.0,Tippecanoe,Tippecanoe County Sheriff’s Office,Gunshot,"Two men who were shot and killed at a Family Express convenience store. One was reportedly killed before police arrived, and the deputies exchanged gunfire with and killed the second.",Pending investigation,No known charges,No,Allegedly Armed,gun,attack,not fleeing,no,,Urban,2019,12
14,34,Male,Unknown race,2019-12-29,Juneau,AK,99801.0,Juneau,Juneau Police Department,Gunshot,A woman reported a disturbance with a shot fired at Chinook Apartments. The woman said she could hear someone screaming outside. Police said Kelly Stephens approached an officer while swinging a chain and making threats. He shot and killed Stephens.,Pending investigation,No known charges,No,Unclear,chain,other,Not fleeing,No,,Suburban,2019,12
15,31,Male,Unknown race,2019-12-28,Lancaster,OH,43130.0,Fairfield,Lancaster Police Department,Gunshot,Lancaster Police shot and killed suspect Troy Kirk as he held a restaurant manager at knifepoint and threatened to kill her. He had stormed into Cristy’s around 12:30 p.m. Kirk did not know the woman.,Pending investigation,No known charges,No,Allegedly Armed,knife,attack,Not fleeing,No,,Suburban,2019,12
16,31,Male,White,2019-12-28,Elizabethton,TN,37643.0,Carter,Elizabethton Police Department,Gunshot,"About 12:45 a.m., two officers were sent to a house regarding an unauthorized visitor being in the home who was in violation of an order of protection. When A.B. Carr reportedly ignored orders to leave, the officers entered the home and fought with Carr who allegedly assaulted the officers with a metal object. Officers reportedly first attempted non-lethal force on Carr, and then shot and killed him.",Pending investigation,No known charges,No,Unclear,unknown weapon,attack,Not fleeing,No,,Suburban,2019,12
17,52,Male,White,2019-12-28,Houston,TX,77030.0,Harris,Harris County Sheriff’s Office,Gunshot,"Albert Benjamin Simon was accused of killing his ex-girlfriend on Christmas Eve. Deputies found him sitting on a bench near the teahouse garden. When the deputies went to arrest Simon, he reportedly reached into a bag and ran. One deputy shot and killed him.",Pending investigation,No known charges,Yes,Allegedly Armed,gun,other,Not fleeing,No,,Suburban,2019,12
18,34,Male,White,2019-12-28,Clearlake Oaks,CA,95423.0,Lake,Lake County Sheriff's Office,Gunshot,"About 9:50 p.m., Deputy Wesley Besgrove shot and killed a man who was allegedly weilding a knife. Details as to what precipitated the killing were withheld by police.",Pending investigation,No known charges,No,Allegedly Armed,knife,attack,foot,no,,Rural,2019,12
19,27,Male,Unknown race,2019-12-28,Bakersfield,CA,93305.0,Kern,Kern County Sheriff’s Office,Gunshot,"Police reportedly received a domestic disturbance call just after 5 p.m., but the call was disconnected. When deputies arrived at the home, Rodriguez opened the door armed and would not comply with orders. Rodriguez approached the deputies who shot and killed him.",Pending investigation,No known charges,No,Unclear,unknown weapon,attack,Not fleeing,No,,Urban,2019,12
20,,Male,Unknown race,2019-12-27,Linthicum Heights,MD,21090.0,Anne Arundel,"Anne Arundel County Police Department, U.S. Federal Bureau of Investigation",Gunshot,"A woman called 911 reporting what sounded like a gunshot coming from inside her home. Responding officers arrived to find a suicidal man armed with a handgun. During a standoff, the man allegedly shot at police, threatened suicide, coming outside around two hours later, exchanging gunfire with police and being shot and killed.",Pending investigation,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing,No,,Suburban,2019,12
21,43,Male,White,2019-12-27,Newport News,VA,23606.0,Newport News City,Newport News Police Department,Gunshot,"Officers went to the home of Henry Kistler Berry III to cite him for making unnecessary calls to 911. He attempted to go inside the house, and police forced their way in, fought, tasered and Officer Albin Pearson shot and killed Berry.",Pending investigation,No known charges,Yes,Allegedly Armed,Taser,attack,Not fleeing,No,,Urban,2019,12
22,42,Male,White,2019-12-27,South Ogden,UT,84405.0,Weber,South Ogden Police Department,Gunshot,"Police were pursuing a red Mustang about 1 a.m. when the chase stopped at the intersection. Officers approached the car, and an officer shot and killed Frederick Jeremy Atkin. Details as to what precipitated the killing were withheld by police.",Pending investigation,No known charges,Drug or alcohol use,Unclear,undetermined,undetermined,Car,No,,Suburban,2019,12
23,16,Male,Unknown race,2019-12-27,Limerick,ME,4048.0,York,York County Sheriff's Office,Gunshot,Christopher Camacho allegedly had a gun and was holding a knife at the throat of a person while he was robbing a Dollar General store. York County Deputy Sheriff Robert Carr shot and killed the boy.,Pending investigation,No known charges,No,Unclear,undetermined,undetermined,0,No,,Rural,2019,12
24,35,Male,Black,2019-12-26,Memphis,TN,38127.0,Shelby,Memphis Police Department,Gunshot,"Memphis officers were responding to an unrelated call when they noticed a disturbance between three people. As officers approached, one of the men, who was armed, failed to comply with officers’ orders. Two officers shot and killed Antonio Smith.",Pending investigation,No known charges,No,Unclear,unknown weapon,other,0,No,,Suburban,2019,12
25,35,Male,Hispanic,2019-12-26,Auburndale,FL,33823.0,Polk,Polk County Sheriff's Office,Gunshot,"Deputies were called to Juan Rosa's house after his mother called 911, saying he was enraged and acting combative. Rosa had a history of mental illness. When deputies knocked on his door he opened it with a gun in his hand, and they shot and killed him. The sheriff remarked that it was suicide because Rosa didn't first shoot the officers.",Pending investigation,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing,No,,Suburban,2019,12
26,23,Male,Black,2019-12-25,Atlanta,GA,30349.0,Fulton,Clayton County Sheriff's Office,Gunshot,"At 9:47 a.m., deputies attempted to stop a vehicle on I-285 for speeding. During the attempted stop, deputies reportedly learned that the vehicle was stolen out of the city of South Fulton. The vehicle failed to stop, and deputies chased it. The vehicle went down a dead-end road and turned around, reportedly hit some police vehicles. The driver, Deangelo Martin, was shot and killed.",Pending investigation,No known charges,No,Vehicle,vehicle,other,Car,No,,Suburban,2019,12
27,59,Female,Unknown race,2019-12-25,Ocala,FL,34476.0,Marion,Marion County Sheriff’s Office,Gunshot,"Deputies originally responded to a neighborhood for a call of a suicide threat. Lori Jean Canada reportedly came out of the home and pointed a gun at the deputies, who shot and killed her.",Pending investigation,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing,No,,Suburban,2019,12
28,56,Male,Unknown race,2019-12-24,Springfield,MO,65807.0,Greene,Springfield Police Department,Gunshot,"About 3:25 p.m., police were dispatched on an assault call; the victim was still being actively assaulted. As officers entered the home they could hear a woman screaming inside a rear bedroom. Officers entered the bedroom and saw the screaming woman and David White, who reportedly was armed with a handgun. Officers ordered him to put the gun down, but he failed to comply. One officer shot and killed him.",Pending investigation,No known charges,No,Allegedly Armed,gun,other,not fleeing,no,,Urban,2019,12
29,65,Male,Unknown race,2019-12-24,Deltona,FL,32725.0,Volusia,Volusia County Sheriff's Office,Gunshot,Harvey Cantrell shot his sister and then was shot and killed by deputies who were at the home investigating a domestic disturbance on Christmas Eve. The sister was in town for their mother's funeral.,Pending investigation,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing,Yes,,Suburban,2019,12
30,60,Male,Black,2019-12-24,Oklahoma City,OK,73111.0,Oklahoma,Oklahoma City Police Department,Gunshot,"Around 3:30 p.m., police were called to a home after Elray Barber left his family's home intoxicated and carrying a gun. Minutes later, officers attempted to pull the vehicle over as Barber was turning into a Sonic restaurant. Barber was in a parked car with a 55-year-old woman and refused to get out of the vehicle. Negotiations lasted approximately two hours. Barber reportedly made several threats against the woman in his car and officers. Around 5:40 p.m., two officers shot and killed Barber.",Pending investigation,No known charges,Drug or alcohol use,Allegedly Armed,gun,attack,Car,No,,Urban,2019,12
31,38,Male,Unknown race,2019-12-23,Phoenix,AZ,85033.0,Maricopa,Phoenix Police Department,Gunshot,"Around 11 a.m., police were called for reports of shots fired and a subject with a gun outside of the Desert Sky Mall. He had reportedly tried to carjack two vehicles, shooting the occupants. Police shot and killed Richard L. Ruiz as he tried to escape in a pickup truck in the mall's parking lot.",Pending investigation,No known charges,No,Allegedly Armed,gun and vehicle,attack,Car,No,,Urban,2019,12
32,24,Male,White,2019-12-23,Bryant,AR,72022.0,Saline,Bryant Police Department,Gunshot,"About 8:30 p.m. police went to an apartment complex to check on Austin Swindle's well-being. That check was ""based on a report from a concerned family member."" Police said it was a confrontation with a suicidal suspect. After the officer was shot, Swindle left the apartment while armed with the shotgun. He reportedly failed to comply with orders to drop the gun, then pointed the shotgun at police who shot and killed him.",Pending investigation,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing,No,,Suburban,2019,12
33,34,Male,Hispanic,2019-12-23,San Antonio,TX,78204.0,Bexar,San Antonio Police Department,Gunshot,Police shot and killed a man as they were investigating a car theft. The owner of the vehicle had been tracking the car using his Ipad's location settings. The man crashed and allegedly pointed a gun at police.,Pending investigation,No known charges,No,Allegedly Armed,gun,other,car,no,,Urban,2019,12
34,24,Male,Black,2019-12-22,Pittsburgh,PA,15221.0,Allegheny,Wilkinsburg Police Department,Gunshot,"A police officer fatally shot Romir Talley after firing at Wilkinsburg police during a foot chase. The pursuit began just after 1 a.m., when police responded to a 911 call about a man threatening another person with a gun",Pending investigation,No known charges,No,Allegedly Armed,gun,attack,Foot,No,,Suburban,2019,12
35,46,Male,Unknown race,2019-12-22,Hattiesburg,MS,39402.0,Lamar,Hattiesburg Police Department,Gunshot,"Police said dispatch received a ""call for service"" around 2 p.m. Responding officers contacted Kenneth Collins, who police said was armed. He was shot and killed. Details as to what precipitated the killing were withheld by police.",Pending investigation,No known charges,No,Unclear,unknown weapon,undetermined,Other,No,,Suburban,2019,12
36,,Male,Unknown race,2019-12-22,Redding,CA,96001.0,Shasta,Redding Police Department,Gunshot,About 3:20 a.m. officers stopped a vehicle and shot and killed the driver. Details as to what precipitated the killing were withheld by police.,Pending investigation,No known charges,No,Unclear,undetermined,undetermined,Not fleeing,No,,Suburban,2019,12
37,57,Male,White,2019-12-21,Ithaca,NY,14850.0,Tompkins,Ithaca Police Department,Gunshot,Michael DeCastro allegedly attacked an officer with a knife inside the Ithaca Police Department headquarters around 6:30 a.m. He was shot and killed.,Pending investigation,No known charges,No,Allegedly Armed,knife,attack,Not fleeing,No,,Suburban,2019,12
38,40,Male,White,2019-12-21,Huntington,UT,84528.0,Emery,"Emery County Sheriff's Office, Utah Highway Patrol",Gunshot,"At approximately 5:15 p.m., an Emery County deputy pulled over a driver with the suspicion he was under the influence of alcohol. During the stop, the driver exited the vehicle and pointed a gun at the officer. The man re-entered his vehicle and drove off, and the deputy chased him. A Utah Highway Patrol trooper used spikes to stop the car. The driver then pointed his gun in the direction of the trooper and deputy, and both officers shot and killed the driver.",Pending investigation,No known charges,Drug or alcohol use,Allegedly Armed,gun,attack,Car,No,,Rural,2019,12
39,57,Male,Unknown race,2019-12-21,Evansville,IN,47715.0,Vanderburgh,Evansville Police Department,Gunshot,"Police were dispatched because a 911 caller said Brian Mullen was suicidal and was threatening to shoot himself. Around 3 p.m., officers were sent for a welfare check. When the officers arrived, they reportedly were confronted by a man holding a gun. Officers said they ordered Mullen to drop the weapon, but he failed to do so and was shot and killed.",Pending investigation,No known charges,Yes,Allegedly Armed,gun,other,Not fleeing,No,,Urban,2019,12
40,26,Male,White,2019-12-21,Carrollton,GA,30117.0,Carroll,Carroll County Sheriff's Office,Gunshot,"Deputies were sent to a home about 5 p.m. after Marc Thompson's mother and brother called and said he had threatened them with a gun. About five hours later, a deputy encountered Thompson at a Circle K convenience store. The deputy saw Thompson inside the store threatening the clerk with a shovel. The deputy went inside, and during a confrontation, Thompson hit the deputy in the head with the shovel. The deputy shot and killed Thompson.",Pending investigation,No known charges,No,Unclear,shovel,attack,Foot,No,,Suburban,2019,12
41,61,Male,Black,2019-12-20,Winston-Salem,NC,27101.0,Forsyth,Winston-Salem Police Department,Gunshot,"Police said Steven Dewayne Haizlip, a City of Winston-Salem employee, opened fire at the Joycelyn V. Johnson Municipal building, killing Terry Lee Cobb Jr. Two other people were injured by gunfire. Haizlip was killed in a gunfight with police.",Pending investigation,No known charges,No,Allegedly Armed,gun,attack,Not fleeing,No,,Urban,2019,12
42,44,Male,White,2019-12-20,Lynn,IN,47355.0,Randolph,"Randolph County Sheriff's Department, Lynn Town Marshal's Office",Gunshot,"Police were called to a domestic situation, and while speaking to John Resetar's wife, officers exchanged gunfire with a person inside the house. About five hours later, police entered the home and found Resetar unconscious and dying from a gunshot.",Pending investigation,No known charges,No,Allegedly Armed,gun,attack,Not fleeing,No,,Rural,2019,12
43,38,Male,White,2019-12-19,Carthage,TN,37030.0,Smith,Smith County Sheriff's Office,Gunshot,"About 6 a.m., deputies responded to a report of a stabbing earlier in the morning where Gary Wayne Madewell allegedly attacked a woman. When deputies arrived at the home, they saw Madewell carrying a knife, and at least one deputy shot and killed Madewell.",Pending investigation,No known charges,No,Allegedly Armed,knife,other,0,No,,Rural,2019,12
44,21,Male,Black,2019-12-19,Brentwood,NY,11717.0,Suffolk,Suffolk County Police Department,Gunshot,"Two officers were on patrol in a marked police vehicle when they pulled over a car in the parking lot of the Brentwood Long Island Railroad Station at 10:20 p.m. The driver, Emanuel Johnson, reportedly ran away from the officers while carrying a backpack. The officers chased him on foot to the backyard of a home where they reportedly tried to deployed a Taser that was ineffective, police said. Johnson reportedly displayed a handgun and was shot and killed.",Pending investigation,No known charges,No,Allegedly Armed,gun,attack,Foot,No,,Suburban,2019,12
45,29,Male,White,2019-12-19,Davis,CA,95616.0,Yolo,Davis Police Department,Gunshot,"Christopher Joseph Gray, 29, reportedly stabbed his mother, Carol Ann Drenkow Gray, 62, who had called 911 before the stabbing. She died after police arrived.",Pending investigation,No known charges,Yes,Allegedly Armed,knife,attack,Not fleeing,No,,Suburban,2019,12
46,47,Male,Unknown race,2019-12-19,Lakewood,CO,80215.0,Jefferson,Lakewood Police Department,Gunshot,"Police were called to the area about 3:15 p.m. on a report of criminal mischief. Jason Waterhouse was inside a duplex and refused to come out or communicate with officers. Police said the man was destroying property inside the home and causing a disturbance. About 5:20 p.m. smoke began streaming out of the home, and officers entered because of a fire. Once inside, officers encountered Waterhouse, who was armed, and shot and killed him.",Pending investigation,No known charges,No,Unclear,unknown weapon,attack,Not fleeing,No,,Urban,2019,12
47,38,Male,White,2019-12-19,Umatilla,FL,32784.0,Lake,Lake County Sheriff's Office,Gunshot,Jayson Colvin was shot and killed following a manhunt by multiple police agencies. He was accused of shooting Eustis police Capt. Gary Winheim.,Pending investigation,No known charges,No,Unclear,unclear,,,,,Rural,2019,12
48,25,Male,Black,2019-12-19,Tempe,AZ,85281.0,Maricopa,Arizona Department of Public Safety,Gunshot,"Around 11:50 p.m. a trooper saw Mohamed Ahmed E A Al-Hashemi knock over a street sign. When the trooper tried to arrest him, Al-Hashemi attacked him. The trooper shot and killed him.",Pending investigation,No known charges,No,Allegedly Armed,Taser,attack,Not fleeing,No,,Urban,2019,12
49,28,Male,Black,2019-12-19,Lenoir,NC,28645.0,Caldwell,U.S. Marshals Service,Gunshot,"Police were conducting a traffic stop when Kentrey Marquis Witherspoon, got out of the vehicle, fired a gun and ran off. The officers involved were not injured, but a patrol car was struck during the shooting.",Pending investigation,No known charges,No,Allegedly Armed,gun,attack,Other,No,,Rural,2019,12
50,29,Male,Unknown race,2019-12-18,Tulsa,OK,74107.0,Tulsa,Tulsa Police Department,Gunshot,"Tyler Hall walked into the QuikTrip around 2:30 a.m. He reportedly walked around the store then pulled out a gun. A QuikTrip security guard tried to talk to him, but Hall pointed the gun at him. Police arrived and saw Hall with his gun pointed at the guard. Three officers shot and killed him.",Pending investigation,No known charges,No,Allegedly Armed,gun,attack,Not fleeing,No,,Suburban,2019,12
51,41,Male,White,2019-12-17,Great Falls,MT,59401.0,Cascade,U.S. Marshals Service,Gunshot,Ricky Lee Gardipee shot three people dead in a Montana casino and was later killed in a shootout with U.S. deputy marshals.,Pending investigation,No known charges,No,Allegedly Armed,gun,attack,foot,no,,Urban,2019,12
52,27,Male,White,2019-12-17,Fort Walton Beach,FL,32547.0,Okaloosa,Okaloosa County Sheriff's Office,Gunshot,"Clyde Sullivan fatally shot a female coworker outside a Fort Walton Beach insurance office. A short time later, after fleeing from the shooting scene in a gold Toyota SUV, Sullivan allegedly shot at Okaloosa County deputies, who shot and killed Sullivan as he sat in the SUV, parked inside the entrance to the Timberlake Pond Recreation Area.",Pending investigation,No known charges,No,Allegedly Armed,gun,attack,Car,No,,Suburban,2019,12
53,63,Male,Unknown race,2019-12-17,El Paso,TX,79924.0,El Paso,"El Paso Police Department, U.S. Border Patrol, U.S. Bureau of Alcohol Tobacco Firearms and Explosives, U.S. Federal Bureau of Investigation",Gunshot,"Paul Jarvis allegedly was selling guns as a business without a federal firearms license. Multiple police agencies executed an arrest and search warrant for a suspected arms dealer. Jarvis reportedly exited the house and shot at police, killing a dog. He was shot and killed.",Pending investigation,No known charges,No,Allegedly Armed,gun,attack,,no,,Suburban,2019,12
54,27,Male,Pacific Islander,2019-12-17,Kapolei,HI,96707.0,Honolulu,Honolulu Police Department,Gunshot,"An officer following a man riding the wrong way on a stolen moped in the Campbell Industrial Park area. The officer yelled for the man to drop a knife. The officer reportedly shot twice with a Taser, but failed to incapacitate the man, and the officer shot and killed him.",Pending investigation,No known charges,No,Allegedly Armed,knife,attack,0,Yes,,Suburban,2019,12
55,31,Male,White,2019-12-17,Wilmington,NC,28411.0,New Hanover,New Hanover County Sheriff's Office,Gunshot,"Police received information that Kyle Horton, who was wanted in Charlotte and Myrtle Beach, S.C., on kidnapping, carjacking, and armed-robbery charges, was possibly headed to the Wilmington area. Deputies saw Horton pull into the Briarcliff Villas Apartments just before 9 p.m. and attempted to capture him. Horton allegedly drew a gun on the officers who shot and killed him.",Pending investigation,No known charges,No,Allegedly Armed,gun,attack,Not fleeing,No,,Suburban,2019,12
56,,Male,Hispanic,2019-12-16,Los Angeles,CA,90020.0,Los Angeles,Los Angeles County Sheriff's Department,Gunshot,"Around 5:30 p.m., deputies approached a pedestrian and made contact with him. He allegedly pulled a gun. Deputies shot and killed him.",Pending investigation,No known charges,No,Allegedly Armed,gun,attack,Foot,No,,Urban,2019,12
57,28,Male,White,2019-12-16,San Bernardino,CA,92407.0,San Bernardino,San Bernardino County Sheriff's Office,Gunshot,"Around midnight, a deputy ran a truck's plate and found it had been reported stolen. The deputy tried to pull the truck over, but the driver fled. The chase ended a short time later with a crash outside a Mobil gas station. At the end of the pursuit, deputies opened fire on the pickup truck, killing Bernie Rascon.",Pending investigation,No known charges,No,Unclear,undetermined,undetermined,Car,No,,Suburban,2019,12
58,34,Male,Pacific Islander,2019-12-16,Honolulu,HI,96819.0,Honolulu,Honolulu Police Department,Gunshot,"Around 11:30 a.m., police exchanged gunfire at a car lot. The gunfire came after a previous pursuit.",Pending investigation,No known charges,No,Allegedly Armed,gun,attack,Foot,No,,Suburban,2019,12
59,23,Male,White,2019-12-15,Milwaukee,WI,53218.0,Milwaukee,Milwaukee Police Department,Gunshot,"Officers tried to stop a vehicle for reckless driving around 8 p.m. Police pursued the vehicle around the block before it crashed into a light pole in the same area where it began fleeing. Kean Walker reportedly got out of the vehicle and immediately fired at officers, who shot and killed him.",Pending investigation,No known charges,No,Allegedly Armed,gun,attack,Car,No,,Urban,2019,12
60,27,Male,Hispanic,2019-12-15,Brownsville,TX,78520.0,Cameron,Brownsville Police Department,Gunshot,Mario Torres was shot and killed by police. Details as to what precipitated the killing were withheld by police.,Pending investigation,No known charges,No,Unclear,undetermined,undetermined,0,No,,Urban,2019,12
61,52,Male,Asian,2019-12-15,Minneapolis,MN,55411.0,Hennepin,Minneapolis Police Department,Gunshot,Police were called to a home around 3 a.m. because someone had reported shots fired in the residence. Police shot and killed Chiasher Fong Vue after he allegedly came out of the home with a gun.,Pending investigation,No known charges,No,Allegedly Armed,gun,attack,Not fleeing,Yes,,Urban,2019,12
62,40,Male,Asian,2019-12-15,Akron,OH,44310.0,Summit,Akron Police Department,Gunshot,"Police were looking for Mohammad Jamal Isaifan regarding a gun found in his vehicle. When they found him, there was an alleged fight, and Isaifan reportedly pulled a gun. Police shot and killed him.",Pending investigation,No known charges,Yes,Allegedly Armed,gun,other,Foot,No,,Urban,2019,12
63,65,Male,Black,2019-12-14,Detroit,MI,48213.0,Wayne,Detroit Police Department,Gunshot,"Police responded to reports of shots fired. They arrived to find two women, Lysa Blake, 18, and Dania Phillips, 49, dead from gunshot wounds. After the shooting, police said Louis Veal fled in a stolen vehicle. The next day, police found the stolen vehicle, and Veal opened fire at officers, and they shot and killed him.",Pending investigation,No known charges,No,Allegedly Armed,gun,attack,Not fleeing,No,,Urban,2019,12
64,22,Male,Black,2019-12-14,Jacksonville,FL,32206.0,Duval,Jacksonville Sheriff's Office,Gunshot,"Officers J. Garriga and K. Graham were patrolling around 5 p.m. when they made a traffic stop. Garriga made contact with the driver, Jamee Christopher Deonte Johnson, and during their conversation, the officer reportedly realized the driver had a handgun. Johnson was ordered out of the vehicle, and a fight began. Waters said Johnson went back to his vehicle, accelerated toward one of the officers and reached for the gun. Garriga shot and killed him. Graham reportedly did not fire his gun.",Pending investigation,No known charges,No,Allegedly Armed,gun and car,attack,Car,Yes,,Urban,2019,12
65,42,Male,White,2019-12-14,Tucson,AZ,85705.0,Pima,Tucson Police Department,Gunshot,"Officers were called around 2:30 p.m. for a call about aggravated assault. Upon arrival neighbors told officers Victor Parsons was walking around outside with a shotgun and yelling. After a standoff, Parsons came out with a shotgun, and Officer Bradley Katherman shot and killed him.",Pending investigation,No known charges,No,Allegedly Armed,gun,attack,Not fleeing,No,,Suburban,2019,12
66,18,Male,Hispanic,2019-12-14,Pasco,WA,99301.0,Franklin,Pasco Police Department,Gunshot,Police shot and killed Alejandro Betancourt-Mendoza after he allegedly stabbed two officers while they were responding to a property theft call.,Pending investigation,No known charges,No,Allegedly Armed,knife,attack,Not fleeing,No,,Suburban,2019,12
67,34,Male,Black,2019-12-12,Anaheim,CA,92805.0,Orange,Anaheim Police Department,Gunshot,"Around 10 p.m., police responded to a disturbance call and encountered Taveonte Art Emmanuel. He was shot and killed. Details as to what precipitated the killing were withheld by police.",Pending investigation,No known charges,No,Unclear,undetermined,undetermined,0,Yes,,Urban,2019,12
